factor,horizon,observations,mean_return,cross_symbol_std,positive_groups
cvar95,1,9203,0.0005293052278010336,0.00460732868618866,0.525
cvar95,5,9171,0.003943906234977647,0.02402207392351143,0.525
cvar95,10,9131,0.0064383109515691915,0.05151917805176325,0.575
cvar95,20,9051,0.01576683548666382,0.07541894813290327,0.575
cvar95,40,8891,0.018331222420737033,0.10729431194271619,0.5641025641025641
fractal_katz_120,1,9371,-8.318535032508707e-05,0.002006200751729293,0.5384615384615384
fractal_katz_120,5,9339,-0.0011990442957413511,0.011646335562786268,0.5384615384615384
fractal_katz_120,10,9299,-0.0022124524815522206,0.021081401385879432,0.5641025641025641
fractal_katz_120,20,9219,-0.0032329308284985833,0.03768354133135767,0.4358974358974359
fractal_katz_120,40,9059,-0.006159613158253638,0.07286801229084212,0.4358974358974359
hurst_rs_120,1,9371,0.00019131197337268383,0.002210757463309083,0.6
hurst_rs_120,5,9339,0.0007458479165859419,0.00892777122791477,0.625
hurst_rs_120,10,9299,0.0018428000320060201,0.014882801455028858,0.625
hurst_rs_120,20,9219,0.005619892814100888,0.027779852355119247,0.65
hurst_rs_120,40,9059,0.009031773964194805,0.05082559679684706,0.65
momentum20,1,9843,6.136256713428754e-05,0.0015734434672953288,0.65
momentum20,5,9811,0.00037899303586356206,0.00602254664627447,0.625
momentum20,10,9771,0.0004498937353938371,0.013592554808738036,0.625
momentum20,20,9691,0.001723470810169132,0.022587413842678334,0.65
momentum20,40,9531,0.0017050522620195518,0.045957239616592996,0.65
oi_change_pct,1,9995,6.723013719976134e-05,0.0015352756810208346,0.65
oi_change_pct,5,9963,0.0003300191555007749,0.005798947068600729,0.65
oi_change_pct,10,9923,0.00034979965942944625,0.009845639846619781,0.625
oi_change_pct,20,9843,0.0011549864007670482,0.01862222589613766,0.65
oi_change_pct,40,9683,0.0018171609317912743,0.03684820500400443,0.675
roll_yield_research,1,10003,0.0001575552247884893,0.0017027927512837774,0.575
roll_yield_research,5,9971,0.0014061028616108892,0.00858470080854344,0.7
roll_yield_research,10,9931,0.003116004670282362,0.01596985628550493,0.7
roll_yield_research,20,9851,0.005589813124516739,0.02855296384534758,0.65
roll_yield_research,40,9691,0.006439746500581799,0.053861703781973976,0.6
skew60,1,9763,-0.00018407805695713,0.0028340756078890843,0.525
skew60,5,9731,0.0007834832384841234,0.008247482688298544,0.65
skew60,10,9691,0.0010111514616327672,0.014050733971391016,0.55
skew60,20,9611,0.0018740096067608094,0.03642031393799651,0.6
skew60,40,9451,0.009972682082676435,0.05246291603459737,0.625
