model,train_start,train_end,test_start,test_end,n_train,n_test,features,auc,brier_score,log_loss,auc_status,test_positive_count,evidence_type
baseline,2020-01-02,2023-02-16,2023-02-17,2023-08-21,1314,115,"price_pct_120,momentum20,rv20,oi_change_pct",0.8230088495575221,0.032237322807361246,0.181232538438745,ok,2,local_evidence
incremental,2020-01-02,2023-02-16,2023-02-17,2023-08-21,1314,115,"price_pct_120,momentum20,rv20,oi_change_pct,cvar95,skew60,kurtosis60,roll_yield_research,hurst_rs_120,fractal_katz_120",0.7035398230088495,0.040667095738727635,0.18839547254116878,ok,2,local_evidence
baseline,2020-01-02,2023-08-21,2023-08-22,2024-03-01,1429,251,"price_pct_120,momentum20,rv20,oi_change_pct",,0.04558850699414884,0.21954270664648537,insufficient_test_classes,0,local_evidence
incremental,2020-01-02,2023-08-21,2023-08-22,2024-03-01,1429,251,"price_pct_120,momentum20,rv20,oi_change_pct,cvar95,skew60,kurtosis60,roll_yield_research,hurst_rs_120,fractal_katz_120",,0.04548022838233944,0.2073591758445438,insufficient_test_classes,0,local_evidence
baseline,2020-01-02,2024-09-03,2024-09-04,2025-03-18,1680,27,"price_pct_120,momentum20,rv20,oi_change_pct",,0.006586218604500722,0.08424510188866108,insufficient_test_classes,0,local_evidence
incremental,2020-01-02,2024-09-03,2024-09-04,2025-03-18,1680,27,"price_pct_120,momentum20,rv20,oi_change_pct,cvar95,skew60,kurtosis60,roll_yield_research,hurst_rs_120,fractal_katz_120",,0.0011724668670841803,0.03396431991640924,insufficient_test_classes,0,local_evidence
baseline,2020-01-02,2025-03-18,2025-03-19,2025-09-17,1707,113,"price_pct_120,momentum20,rv20,oi_change_pct",0.8631578947368421,0.3324449601989618,1.5391038742021075,ok,18,local_evidence
incremental,2020-01-02,2025-03-18,2025-03-19,2025-09-17,1707,113,"price_pct_120,momentum20,rv20,oi_change_pct,cvar95,skew60,kurtosis60,roll_yield_research,hurst_rs_120,fractal_katz_120",0.8660818713450292,0.4026584339205958,2.0322990537863337,ok,18,local_evidence
baseline,2020-01-02,2025-09-17,2025-09-18,2026-04-01,1820,166,"price_pct_120,momentum20,rv20,oi_change_pct",0.792653810835629,0.29771935741995287,1.2016171546932999,ok,45,local_evidence
incremental,2020-01-02,2025-09-17,2025-09-18,2026-04-01,1820,166,"price_pct_120,momentum20,rv20,oi_change_pct,cvar95,skew60,kurtosis60,roll_yield_research,hurst_rs_120,fractal_katz_120",0.775941230486685,0.36915644623866506,1.779430832821132,ok,45,local_evidence
baseline,2020-01-02,2026-04-01,2026-04-02,2026-09-04,1986,126,"price_pct_120,momentum20,rv20,oi_change_pct",0.9115044247787611,0.1384330022211125,0.4632368447094036,ok,13,local_evidence
incremental,2020-01-02,2026-04-01,2026-04-02,2026-09-04,1986,126,"price_pct_120,momentum20,rv20,oi_change_pct,cvar95,skew60,kurtosis60,roll_yield_research,hurst_rs_120,fractal_katz_120",0.9121851599727706,0.12062369560357594,0.6458302694648606,ok,13,local_evidence
