checked_at,symbol,dataset,severity,check_name,details
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,OK,required_columns,complete
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,OK,duplicate_keys,0
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,OK,ohlc_integrity,0
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,OK,freshness,"latest=2026-09-11, business_days_lag=0, calendar_days=0"
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,OK,contract_lineage,complete
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,OK,contract_rolls,20
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,WARN,missing_fields,turnover
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,WARN,cleaning_adjustments,3
2026-09-11 09:31:32.654156+00:00,HC,daily_bars,OK,research_eligibility,eligible_rows=1624/1624
2026-09-11 09:31:32.654156+00:00,I,daily_bars,OK,required_columns,complete
2026-09-11 09:31:32.654156+00:00,I,daily_bars,OK,duplicate_keys,0
2026-09-11 09:31:32.654156+00:00,I,daily_bars,OK,ohlc_integrity,0
2026-09-11 09:31:32.654156+00:00,I,daily_bars,OK,freshness,"latest=2026-09-11, business_days_lag=0, calendar_days=0"
2026-09-11 09:31:32.654156+00:00,I,daily_bars,OK,contract_lineage,complete
2026-09-11 09:31:32.654156+00:00,I,daily_bars,OK,contract_rolls,20
2026-09-11 09:31:32.654156+00:00,I,daily_bars,WARN,missing_fields,turnover
2026-09-11 09:31:32.654156+00:00,I,daily_bars,WARN,cleaning_adjustments,108
2026-09-11 09:31:32.654156+00:00,I,daily_bars,OK,research_eligibility,eligible_rows=1624/1624
2026-09-11 09:31:32.654156+00:00,J,daily_bars,OK,required_columns,complete
2026-09-11 09:31:32.654156+00:00,J,daily_bars,OK,duplicate_keys,0
2026-09-11 09:31:32.654156+00:00,J,daily_bars,OK,ohlc_integrity,0
2026-09-11 09:31:32.654156+00:00,J,daily_bars,OK,freshness,"latest=2026-09-11, business_days_lag=0, calendar_days=0"
2026-09-11 09:31:32.654156+00:00,J,daily_bars,OK,contract_lineage,complete
2026-09-11 09:31:32.654156+00:00,J,daily_bars,OK,contract_rolls,20
2026-09-11 09:31:32.654156+00:00,J,daily_bars,WARN,missing_fields,turnover
2026-09-11 09:31:32.654156+00:00,J,daily_bars,WARN,cleaning_adjustments,108
2026-09-11 09:31:32.654156+00:00,J,daily_bars,OK,research_eligibility,eligible_rows=1624/1624
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,OK,required_columns,complete
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,OK,duplicate_keys,0
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,OK,ohlc_integrity,0
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,OK,freshness,"latest=2026-09-11, business_days_lag=0, calendar_days=0"
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,OK,contract_lineage,complete
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,OK,contract_rolls,20
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,WARN,missing_fields,turnover
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,WARN,cleaning_adjustments,108
2026-09-11 09:31:32.654156+00:00,JM,daily_bars,OK,research_eligibility,eligible_rows=1624/1624
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,OK,required_columns,complete
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,OK,duplicate_keys,0
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,OK,ohlc_integrity,0
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,OK,freshness,"latest=2026-09-11, business_days_lag=0, calendar_days=0"
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,OK,contract_lineage,complete
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,OK,contract_rolls,11
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,WARN,missing_fields,turnover
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,WARN,cleaning_adjustments,1
2026-09-11 09:31:32.654156+00:00,LC,daily_bars,OK,research_eligibility,eligible_rows=764/764
2026-09-11 09:31:32.654156+00:00,PS,daily_bars,OK,required_columns,complete
2026-09-11 09:31:32.654156+00:00,PS,daily_bars,OK,duplicate_keys,0
2026-09-11 09:31:32.654156+00:00,PS,daily_bars,OK,ohlc_integrity,0
2026-09-11 09:31:32.654156+00:00,PS,daily_bars,WARN,freshness,"latest=2026-08-14, business_days_lag=20, calendar_days=28"
2026-09-11 09:31:32.654156+00:00,PS,daily_bars,OK,contract_lineage,complete
2026-09-11 09:31:32.654156+00:00,PS,daily_bars,OK,contract_rolls,9
2026-09-11 09:31:32.654156+00:00,PS,daily_bars,WARN,missing_fields,turnover
2026-09-11 09:31:32.654156+00:00,PS,daily_bars,OK,cleaning_adjustments,0
